year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2021-03,7,26,2,0.0,0.0,0.0,,,
2021-04,7,152,1,0.0,0.0,0.0,,,
2021-05,16,92,11,0.0,0.0,0.0,,,
2021-06,8,67,2,0.0,0.0,0.0,,,
2021-07,15,137,26,0.0,0.0,0.0,,,
2021-08,4,54,45,0.0,0.0,0.0,,,
2021-09,11,21,74,0.0,0.0,0.0,,,
2021-10,5,8,5,0.0,0.0,0.0,,,
2021-11,13,60,4,0.0,0.0,0.0,,,
2021-12,26,111,45,0.0,0.0,0.0,,,
2022-01,6,12,5,0.0,0.0,0.0,,,
2022-02,9,29,10,0.0,0.0,0.0,,,
2022-05,1,4,1,0.0,0.0,0.0,,,
