year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,ma_commit_count,ma_additions,ma_deletions,ma_agg_loc,ma_agg_complexity,ma_agg_token_count,ma_dmm_unit_size,ma_dmm_unit_complexity,ma_dmm_unit_interfacing
2019-03,1463,199577,195719,603717.0,135190.0,3691121.0,0.2539566144473533,0.30798262441063745,0.3404821519907959,,,,,,,,,
2019-04,2123,175143,108045,516865.0,41618.0,2436147.0,0.23329838174414044,0.2543089457069686,0.2473008608385913,,,,,,,,,
2019-05,1006,126557,72391,444268.0,37826.0,2078179.0,0.07626934885163801,0.11295589352851236,0.11896529730694733,1530.6666666666667,167092.33333333334,125385.0,521616.6666666667,71544.66666666667,2735149.0,0.18784144834771058,0.22508248788203947,0.23558277004544484
2019-06,856,95928,62255,474096.0,38822.0,2154624.0,0.17395108118035388,0.1675344167472364,0.1561761094212737,1328.3333333333333,132542.66666666666,80897.0,478409.6666666667,39422.0,2222983.3333333335,0.16117293725871076,0.17826641866090578,0.17414742252227078
2019-07,846,144042,67365,404913.0,51295.0,2176414.0,0.16031114886426634,0.1507028379323444,0.14306267536644246,902.6666666666666,122175.66666666667,67337.0,441092.3333333333,42647.666666666664,2136405.6666666665,0.1368438596320861,0.14373104940269774,0.13940136069822118
2019-08,940,150631,116693,507661.0,55942.0,2481391.0,0.2209071156378172,0.19653584391811885,0.1863290437778937,880.6666666666666,130200.33333333333,82104.33333333333,462223.3333333333,48686.333333333336,2270809.6666666665,0.18505644856081246,0.1715910328658999,0.16185594285520327
2019-09,712,65599,32360,237949.0,18029.0,1077472.0,0.14451099109936277,0.20068749800007765,0.18604012482663704,832.6666666666666,120090.66666666667,72139.33333333333,383507.6666666667,41755.333333333336,1911759.0,0.17524308520048212,0.18264205995018032,0.17181061465699107
2019-10,1087,99888,61416,245188.0,32967.0,1302651.0,0.1200429516561871,0.17165785426442295,0.1726933813783015,913.0,105372.66666666667,70156.33333333333,330266.0,35646.0,1620504.6666666667,0.16182035279778903,0.18962706539420648,0.1816875166609441
2019-11,862,112689,59275,132850.0,18521.0,739741.0,0.15779114167618852,0.19064331632610773,0.19263834871665436,887.0,92725.33333333333,51017.0,205329.0,23172.333333333332,1039954.6666666666,0.14078169481057948,0.1876628895302028,0.18379061830719765
2019-12,637,65126,43597,472068.0,68805.0,2448622.0,0.13092087416430764,0.12023995732541486,0.17291627053200076,862.0,92567.66666666667,54762.666666666664,283368.6666666667,40097.666666666664,1497004.6666666667,0.13625165583222776,0.1608470426386485,0.17941600020898554
2020-01,713,141823,73106,220118.0,22945.0,1058389.0,0.10881531291357112,0.15423549359847052,0.1497482556081941,737.3333333333334,106546.0,58659.333333333336,275012.0,36757.0,1415584.0,0.1325091095846891,0.15503958908333104,0.17176762495228307
2020-02,822,70547,48131,220438.0,18416.0,971826.0,0.1360209670575857,0.09773548601893245,0.14298257315563345,724.0,92498.66666666667,54944.666666666664,304208.0,36722.0,1492945.6666666667,0.12525238471182149,0.12407031231427261,0.1552156997652761
2020-03,909,161575,96656,406792.0,39746.0,1883829.0,0.12917365716785928,0.1752364350487827,0.15283842265773503,814.6666666666666,124648.33333333333,72631.0,282449.3333333333,27035.666666666668,1304681.3333333333,0.1246699790463387,0.14240247155539523,0.1485230838071875
2020-04,848,132075,56699,877986.0,71747.0,3917044.0,0.1512558551804317,0.19697398693987703,0.19844433461959746,859.6666666666666,121399.0,67162.0,501738.6666666667,43303.0,2257566.3333333335,0.13881682646862556,0.15664863600253073,0.16475511014432198
2020-05,781,95596,43242,511202.0,50651.0,2364793.0,0.13945120165761446,0.20130571095788494,0.2248632460212544,846.0,129748.66666666667,65532.333333333336,598660.0,54048.0,2721888.6666666665,0.13996023800196847,0.1911720443155149,0.19204866776619564
2020-06,728,69101,37091,291318.0,38246.0,1514961.0,0.11358130840651433,0.16140378888250806,0.17171668957925135,785.6666666666666,98924.0,45677.333333333336,560168.6666666666,53548.0,2598932.6666666665,0.13476278841485348,0.18656116226009,0.19834142340670105
2020-07,771,101441,55285,422250.0,26544.0,1731860.0,0.14308152445513145,0.1690988616139982,0.15597791568427238,760.0,88712.66666666667,45206.0,408256.6666666667,38480.333333333336,1870538.0,0.13203801150642006,0.1772694538181304,0.1841859504282594
2020-08,759,66291,43727,481210.0,57501.0,2322178.0,0.11842081555146024,0.19141603315703185,0.1943421922952791,752.6666666666666,78944.33333333333,45367.666666666664,398259.3333333333,40763.666666666664,1856333.0,0.12502788280436866,0.17397289455117937,0.17401226585293428
2020-09,771,136442,57781,325203.0,36824.0,1609127.0,0.13629708261545354,0.2924700896537389,0.26600505477255965,767.0,101391.33333333333,52264.333333333336,409554.3333333333,40289.666666666664,1887721.6666666667,0.13259980754068174,0.21766166147492297,0.20544172091737037
2020-10,1611,130134,87627,191890.0,16945.0,878338.0,0.05400587019704891,0.12794887340528058,0.19389624104410144,1047.0,110955.66666666667,63045.0,332767.6666666667,37090.0,1603214.3333333333,0.10290792278798755,0.20394499873868377,0.21808116270398006
2020-11,998,89695,101999,254528.0,37945.0,1420396.0,0.1409565088438142,0.23816939219373282,0.2914036829649818,1126.6666666666667,118757.0,82469.0,257207.0,30571.333333333332,1302620.3333333333,0.11041982055210554,0.21952945175091743,0.2504349929272143
