year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,ma_commit_count,ma_additions,ma_deletions,ma_agg_loc,ma_agg_complexity,ma_agg_token_count,ma_dmm_unit_size,ma_dmm_unit_complexity,ma_dmm_unit_interfacing
2020-12,755,104018,43218,363529.0,41687.0,1850673.0,0.106188899130788,0.17513466496637314,0.19411816294478765,1121.3333333333333,107949.0,77614.66666666667,269982.3333333333,32192.333333333332,1383135.6666666667,0.10038375939055037,0.18041764352179554,0.22647269565129027
2021-01,766,53127,33446,285642.0,16731.0,1185281.0,0.14867346632781261,0.19818693529507905,0.20180743311656638,839.6666666666666,82280.0,59554.333333333336,301233.0,32121.0,1485450.0,0.1319396247674716,0.203830330818395,0.2291097596754453
2021-02,660,57680,44995,383074.0,41044.0,1850041.0,0.11248040795428677,0.1062253897247766,0.11938189602718764,727.0,71608.33333333333,40553.0,344081.6666666667,33154.0,1628665.0,0.12244759113762914,0.15984899666207628,0.1717691640295139
2021-03,841,117445,85581,549090.0,36075.0,2337138.0,0.14125970623301703,0.21394777986671476,0.22584311989541053,755.6666666666666,76084.0,54674.0,405935.3333333333,31283.333333333332,1790820.0,0.13413786017170545,0.17278670162885681,0.18234414967972148
2021-04,926,232609,209112,1112452.0,239750.0,6866925.0,0.19280656313011502,0.24369657297098582,0.2607485642880534,809.0,135911.33333333334,113229.33333333333,681538.6666666666,105623.0,3684701.3333333335,0.1488488924391396,0.1879565808541591,0.2019911934035505
2021-05,772,81372,51319,267312.0,41647.0,1479530.0,0.20494060383142237,0.203540913582728,0.20795760867823213,846.3333333333334,143808.66666666666,115337.33333333333,642951.3333333334,105824.0,3561197.6666666665,0.17966895773151814,0.22039508880680955,0.23151643095389865
2021-06,767,88845,51368,465273.0,92850.0,2750476.0,0.20226855007804084,0.1606741494314704,0.19610777824905573,821.6666666666666,134275.33333333334,103933.0,615012.3333333334,124749.0,3698977.0,0.20000523901319275,0.20263721199506143,0.2216046504051137
2021-07,797,73585,44901,275686.0,20321.0,1204114.0,0.14438436763563536,0.22364294374353338,0.210198685483037,778.6666666666666,81267.33333333333,49196.0,336090.3333333333,51606.0,1811373.3333333333,0.18386450718169953,0.19595266891924398,0.20475469080344158
2021-08,795,142726,71800,221101.0,25710.0,1073590.0,0.1888881034214294,0.3233491369386373,0.30695416487455823,786.3333333333334,101718.66666666667,56023.0,320686.6666666667,46293.666666666664,1676060.0,0.17851367371170188,0.2358887433712137,0.23775354286888364
2021-09,819,156412,111853,506255.0,39044.0,2165363.0,0.16204582915547683,0.21480522404713953,0.216542501989049,803.6666666666666,124241.0,76184.66666666667,334347.3333333333,28358.333333333332,1481022.3333333333,0.1651061000708472,0.2539324349097701,0.2445651174488814
2021-10,1834,120562,92222,257779.0,35881.0,1295346.0,0.09686755958697053,0.16025988334416288,0.2362929809735118,1149.3333333333333,139900.0,91958.33333333333,328378.3333333333,33545.0,1511433.0,0.14926716405462556,0.2328047481099799,0.25326321594570633
2021-11,700,117640,60203,192705.0,15786.0,834206.0,0.14834358627211694,0.17293825801319934,0.15946853304912012,1117.6666666666667,131538.0,88092.66666666667,318913.0,30237.0,1431638.3333333333,0.13575232500485476,0.18266778846816725,0.20410133867056032
2021-12,822,82726,31730,162566.0,17087.0,803491.0,0.2017583819657206,0.1867718963516072,0.1763197020596496,1118.6666666666667,106976.0,61385.0,204350.0,22918.0,977681.0,0.14898984260826936,0.17332334590298984,0.19069373869409387
2022-01,869,101362,47086,151975.0,12263.0,672748.0,0.2746286997587186,0.3061070868147823,0.2905831085873424,797.0,100576.0,46339.666666666664,169082.0,15045.333333333334,770148.3333333334,0.20824355599885205,0.22193908039319632,0.20879044789870405
