date,author_code,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2010-05-20,3,1,17,15,0.0,0.0,0.0,,,
2010-06-16,2,3,5,4,908.0,210.0,5906.0,1.0,1.0,1.0
2010-08-04,3,1,44,117,0.0,0.0,0.0,,,
2010-08-05,3,1,1,1,0.0,0.0,0.0,,,
2010-08-06,3,6,24,10,916.0,212.0,5968.0,0.0,1.0,1.0
2010-08-09,3,1,7,3,460.0,106.0,2987.0,0.0,1.0,1.0
2010-08-10,2,2,30,3,496.0,136.0,2512.0,0.0769230769230769,0.7307692307692307,0.9615384615384616
2010-08-10,3,3,35,10,1389.0,327.0,7772.0,0.0,0.0,1.0
2010-08-16,2,9,149,60,2467.0,652.0,15685.0,1.0,0.0,0.0
2010-08-16,3,12,111,141,2817.0,663.0,17007.0,0.0,0.0,1.0
2010-08-17,2,29,461,204,3667.0,976.0,22619.0,1.0,0.8653846153846154,0.0
2010-08-18,2,6,35,19,1558.0,367.0,10040.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
2010-08-18,3,6,49,16,2176.0,491.0,12610.0,1.0,1.0,0.0
2010-08-19,2,5,72,26,505.0,117.0,3257.0,1.0,1.0,1.0
2010-08-20,2,1,2,1,294.0,83.0,1532.0,,,
2010-09-01,2,13,132,35,3129.0,702.0,19492.0,0.1612903225806451,1.0,0.0
2010-10-17,2,2,7,16,187.0,70.0,1464.0,,,
2010-10-25,2,4,67,645,323.0,31.0,1736.0,0.3935309973045822,0.2318059299191374,0.3234501347708894
2010-10-27,2,4,1521,15,597.0,132.0,3735.0,0.6222222222222222,0.6222222222222222,1.0
2010-11-17,2,1,2,44,0.0,0.0,0.0,,,
2011-01-04,2,1,5,2,152.0,25.0,818.0,,,
2011-01-06,2,1,12,3,458.0,94.0,2394.0,0.125,0.125,0.125
2011-01-18,2,1,1,1,504.0,117.0,3257.0,,,
2011-02-02,2,1,0,2,0.0,0.0,0.0,,,
2011-03-15,2,1,1,1,0.0,0.0,0.0,,,
2011-04-01,2,1,3,1,0.0,0.0,0.0,,,
2011-06-28,2,1,5,5,504.0,117.0,3257.0,,,
2011-06-29,2,7,16,5,504.0,117.0,3257.0,,,
2011-10-13,2,2,26,19,0.0,0.0,0.0,,,
2012-02-01,2,1,163,157,0.0,0.0,0.0,,,
2012-02-03,2,1,325,25,0.0,0.0,0.0,,,
2012-02-08,2,1,26,12,0.0,0.0,0.0,,,
2012-02-10,2,7,275,74,692.0,176.0,4585.0,0.5441176470588235,0.33578431372549017,0.9583333333333333
2012-02-10,3,1,9,1,0.0,0.0,0.0,,,
2012-02-13,2,16,118,39,0.0,0.0,0.0,,,
2012-02-14,2,2,36,0,0.0,0.0,0.0,,,
2012-03-02,2,7,490,182,2434.0,585.0,15568.0,0.4142857142857143,0.3714285714285714,0.2785714285714286
2012-03-05,2,1,22,0,172.0,60.0,1187.0,0.8421052631578947,0.8421052631578947,1.0
2012-03-06,2,5,508,286,1664.0,435.0,10438.0,0.9651162790697676,0.7558139534883721,0.1976744186046511
2012-03-07,2,2,20,20,412.0,129.0,2815.0,1.0,1.0,0.0
2012-03-08,2,10,330,230,4303.0,1109.0,28052.0,0.525,0.55,0.0
2012-03-09,2,5,169,145,3895.0,911.0,23352.0,0.4705882352941176,0.0,0.0
2012-03-10,2,1,290,237,3016.0,710.0,18979.0,0.0,0.425531914893617,0.0425531914893617
2012-03-11,2,1,122,67,1688.0,425.0,9899.0,0.8723404255319149,0.6170212765957447,0.9574468085106383
2012-03-12,2,5,38,62,2655.0,648.0,17425.0,0.5,0.5,0.5
2012-03-20,2,10,263,450,3722.0,966.0,23371.0,0.0,0.0,0.0
2012-03-21,2,5,42,11,2127.0,515.0,13284.0,1.0,1.0,1.0
2012-03-22,2,5,107,16,1595.0,421.0,10698.0,0.7340425531914894,1.0,0.6276595744680851
2012-03-23,2,9,93,52,3719.0,954.0,23077.0,1.0,1.0,1.0
2012-03-25,2,5,63,84,1823.0,473.0,10959.0,0.3076923076923077,1.0,0.7692307692307693
2012-03-27,2,1,8,12,271.0,72.0,1697.0,1.0,1.0,1.0
2012-03-31,2,5,14,10,458.0,126.0,3105.0,1.0,1.0,1.0
2012-04-02,2,1,2,1,271.0,72.0,1687.0,0.0,0.0,0.0
2012-04-03,2,4,239,1,717.0,139.0,3813.0,0.5957446808510638,0.7287234042553191,0.5548103607770583
2012-04-05,2,2,3,3,37.0,3.0,222.0,,,
2012-04-08,2,3,70,15,1607.0,430.0,9953.0,0.125,1.0,0.5833333333333334
2012-04-09,2,1,5,3,496.0,103.0,2539.0,1.0,1.0,1.0
2012-04-10,2,7,82,66,826.0,204.0,5434.0,0.0,0.0,0.0
2012-04-11,2,2,38,23,0.0,0.0,0.0,,,
2012-04-13,2,7,257,39,3771.0,972.0,24057.0,0.13636363636363635,0.7843137254901961,0.1388888888888889
2012-04-25,2,2,11,6,699.0,186.0,4704.0,1.0,1.0,1.0
2012-05-09,2,1,10,8,261.0,88.0,1721.0,0.0,0.0,1.0
2012-05-10,2,7,14,14,2532.0,705.0,15643.0,0.5,0.5,0.5
2012-05-13,2,4,5,3,964.0,274.0,6447.0,0.0,1.0,1.0
2012-05-14,2,3,197,18,0.0,0.0,0.0,,,
2012-05-16,2,1,5,0,707.0,187.0,4751.0,0.0,0.0,0.0
2012-05-17,5,3,1670,6,1404.0,335.0,9569.0,0.2138613861386138,0.4118811881188118,0.4712871287128712
2012-05-21,2,1,5,0,135.0,49.0,1056.0,1.0,1.0,0.0
2012-05-23,2,7,96,19,1322.0,316.0,8019.0,0.0,0.0,1.0
2012-05-25,3,1,8,0,295.0,82.0,1527.0,1.0,1.0,1.0
2012-05-29,3,1,11,7,0.0,0.0,0.0,,,
2012-05-30,3,1,54,53,292.0,101.0,1964.0,1.0,0.6875,0.71875
2012-06-05,5,2,2,2,542.0,144.0,3374.0,,,
2012-06-14,3,1,1,1,0.0,0.0,0.0,,,
2012-06-25,2,1,2,1,504.0,105.0,2583.0,0.0,1.0,0.0
2012-07-01,2,6,155,280,753.0,191.0,4958.0,1.0,1.0,0.8461538461538461
2012-07-03,2,6,122,74,505.0,105.0,2586.0,,,
2012-07-04,2,2,3,2,0.0,0.0,0.0,,,
2012-07-06,2,7,109,84,1745.0,446.0,10470.0,1.0,0.0,0.0
2012-07-07,2,3,2,3,0.0,0.0,0.0,,,
2012-07-31,2,2,2,3,718.0,191.0,4841.0,0.0,0.0,0.0
2012-08-06,2,1,3,4,725.0,193.0,4886.0,,,
2012-08-06,6,2,10,1,725.0,193.0,4887.0,1.0,1.0,1.0
2012-08-10,2,1,6,1,36.0,0.0,121.0,,,
2012-08-16,2,2,43,40,314.0,70.0,2040.0,,,
2012-08-17,2,3,8,4,725.0,193.0,4886.0,,,
2012-08-23,2,3,14,15,0.0,0.0,0.0,,,
2012-08-29,2,2,8,4,0.0,0.0,0.0,,,
2012-09-11,2,1,12,2,0.0,0.0,0.0,,,
2012-09-14,2,2,8,4,727.0,195.0,4906.0,0.0,1.0,1.0
2012-10-01,2,1,6,2,0.0,0.0,0.0,,,
2012-10-04,2,3,36,5,520.0,105.0,2681.0,,,
2012-10-29,2,1,12,8,0.0,0.0,0.0,,,
2012-10-29,7,1,20,14,277.0,77.0,1756.0,0.0,0.0,0.0
2012-10-30,2,3,11,1,1099.0,309.0,6601.0,1.0,1.0,1.0
2012-11-03,2,5,96,31,509.0,107.0,2619.0,,,
2012-11-08,2,8,108,91,0.0,0.0,0.0,,,
2012-11-08,3,1,76,66,0.0,0.0,0.0,,,
2012-11-09,2,7,16,14,0.0,0.0,0.0,,,
2012-11-12,3,4,6,5,0.0,0.0,0.0,,,
2012-11-13,3,17,217,174,13193.0,3193.0,83327.0,0.0,0.0,1.0
2012-11-14,3,5,266,39,2220.0,485.0,12254.0,0.5555555555555556,0.7314814814814815,0.4074074074074074
2012-11-15,2,2,17,49,728.0,195.0,4908.0,,,
2012-11-15,3,4,4,4,1481.0,392.0,9924.0,0.0,0.0,1.0
2012-11-16,2,1,7,3,0.0,0.0,0.0,,,
2012-11-17,2,1,19,9,0.0,0.0,0.0,,,
2012-11-18,2,1,4,3,0.0,0.0,0.0,,,
2012-11-19,2,4,36,35,62.0,4.0,305.0,0.0,0.0,0.0
2012-11-26,3,2,7,1,735.0,198.0,4947.0,0.0,0.0,1.0
2012-11-30,2,2,8,8,1360.0,330.0,8371.0,,,
2012-12-02,2,3,75,69,0.0,0.0,0.0,,,
2012-12-19,2,1,1,1,735.0,198.0,4947.0,,,
2013-02-28,2,5,61,21,372.0,92.0,1967.0,1.0,1.0,1.0
2013-03-06,2,3,25,20,347.0,108.0,2254.0,1.0,1.0,1.0
2013-03-07,8,1,29,28,0.0,0.0,0.0,,,
2013-03-08,2,1,12,2,594.0,131.0,3259.0,1.0,1.0,1.0
2013-03-13,2,2,6,11,300.0,102.0,2001.0,,,0.0
2013-03-15,9,1,0,3,0.0,0.0,0.0,,,
2013-03-21,2,2,24,18,0.0,0.0,0.0,,,
2013-03-21,10,1,74,2,0.0,0.0,0.0,,,
2013-03-22,2,2,78,36,870.0,225.0,5611.0,1.0,1.0,1.0
2013-03-24,2,3,20,13,396.0,125.0,2573.0,1.0,1.0,0.0
2013-03-28,2,1,2,2,735.0,198.0,4953.0,,,
2013-03-30,11,1,15,12,281.0,77.0,1772.0,0.0,0.0,0.0
2013-04-09,2,4,42,25,188.0,41.0,922.0,,,
2013-04-12,2,1,8,2,0.0,0.0,0.0,,,
2013-04-21,11,1,27,0,753.0,202.0,5069.0,0.0,0.0,1.0
2013-04-25,11,1,1,1,0.0,0.0,0.0,,,
2013-04-26,11,1,0,6,0.0,0.0,0.0,,,
2013-04-29,2,1,3,3,1041.0,284.0,6549.0,,,
2013-05-22,2,4,27,17,787.0,228.0,4749.0,1.0,1.0,0.75
2013-05-22,8,1,26,16,186.0,57.0,1299.0,1.0,1.0,0.7333333333333333
2013-05-23,12,1,1,1,735.0,198.0,4953.0,,,
2013-05-28,2,1,18,1,364.0,100.0,1965.0,1.0,1.0,1.0
2013-06-03,2,2,11,4,331.0,104.0,2194.0,,,
2013-06-04,3,1,6,5,0.0,0.0,0.0,,,
2013-06-06,13,3,34,6,1645.0,461.0,11285.0,0.0,0.3333333333333333,0.6666666666666666
2013-06-12,2,1,120,0,62.0,6.0,410.0,1.0,1.0,0.325
2013-06-17,2,1,13,6,1337.0,331.0,8262.0,1.0,1.0,1.0
2013-06-19,2,4,15,10,0.0,0.0,0.0,,,
2013-06-20,3,3,7,1,317.0,116.0,2411.0,1.0,1.0,0.5
2013-06-24,2,1,1,0,0.0,0.0,0.0,,,
2013-06-25,2,8,66,49,4048.0,1081.0,27031.0,0.0,0.0,1.0
2013-06-26,2,3,8,4,2311.0,633.0,15560.0,0.5,0.5,0.75
2013-06-27,14,3,79,8,1745.0,467.0,11800.0,0.68,1.0,0.86
2013-06-28,14,1,20,2,0.0,0.0,0.0,,,
2013-06-29,14,1,1,1,828.0,226.0,5569.0,,,
2013-07-01,14,1,1,7,822.0,225.0,5555.0,0.0,0.0,1.0
2013-07-04,2,3,142,17,1805.0,437.0,11142.0,1.0,1.0,0.4
2013-07-06,2,1,1,1,0.0,0.0,0.0,,,
2013-07-09,2,1,2,0,80.0,8.0,464.0,,,
2013-07-09,14,2,2,2,90.0,16.0,388.0,,,
2013-07-09,15,4,49,33,2104.0,580.0,13988.0,1.0,1.0,1.0
2013-07-10,14,1,65,33,153.0,18.0,1045.0,0.0,0.0,0.0
2013-07-11,15,2,9,2,1199.0,264.0,6557.0,0.0,0.0,0.0
2013-07-13,16,1,4,4,306.0,103.0,2031.0,,,
2013-07-15,17,3,5,4,143.0,30.0,646.0,,,
2013-07-18,14,2,8,10,863.0,232.0,5711.0,0.5,0.0,0.5714285714285714
2013-07-18,18,2,147,0,88.0,15.0,456.0,1.0,1.0,0.7058823529411765
2013-07-19,4,2,11,2,0.0,0.0,0.0,,,
2013-07-19,15,2,38,110,200.0,60.0,1397.0,0.0,0.0,0.4117647058823529
2013-07-23,15,1,10,3,605.0,133.0,3297.0,0.0,1.0,1.0
2013-07-24,19,1,6,0,0.0,0.0,0.0,,,
2013-07-25,15,1,19,2,0.0,0.0,0.0,,,
2013-07-26,15,2,12,2,665.0,150.0,3650.0,0.0,0.0,0.8
2013-07-30,2,2,7,8,322.0,116.0,2464.0,0.0,0.0,0.0
2013-07-30,15,2,18,2,599.0,132.0,3275.0,1.0,1.0,1.0
2013-08-05,15,1,8,3,0.0,0.0,0.0,,,
2013-08-06,15,1,0,3,837.0,230.0,5670.0,1.0,1.0,0.0
2013-08-09,15,3,66,44,2183.0,543.0,11744.0,0.9166666666666667,0.9166666666666667,0.9166666666666667
2013-08-12,15,1,66,4,333.0,109.0,2224.0,0.3333333333333333,1.0,1.0
2013-08-14,15,3,36,67,1183.0,313.0,7771.0,1.0,1.0,1.0
2013-08-15,15,3,8,5,1102.0,195.0,7779.0,1.0,1.0,0.0
2013-08-16,15,1,12,6,374.0,68.0,2640.0,0.0,0.0,0.0
2013-08-20,2,3,493,86,852.0,87.0,3603.0,0.3055555555555556,1.0,1.0
2013-08-21,2,1,92,32,377.0,44.0,1687.0,1.0,1.0,1.0
2013-08-22,2,1,137,99,409.0,48.0,1966.0,0.4,1.0,1.0
2013-08-22,20,4,47,9,837.0,230.0,5670.0,,,
2013-08-23,2,4,313,325,1583.0,174.0,7307.0,1.0,0.0,1.0
2013-08-24,2,1,5,3,401.0,44.0,1851.0,0.5,1.0,1.0
2013-08-25,2,6,98,25,2165.0,235.0,9940.0,0.0,1.0,0.9444444444444444
2013-08-26,2,1,2,1,459.0,49.0,2063.0,0.0,1.0,1.0
2013-08-26,21,1,2,1,35.0,0.0,118.0,,,
2013-09-11,2,43,846,277,12393.0,1887.0,63709.0,0.75625,1.0,0.7733843537414966
2013-09-11,15,3,125,84,1745.0,434.0,10710.0,1.0,1.0,1.0
2013-09-11,21,43,1209,332,4130.0,791.0,23262.0,0.4658823529411764,0.8117647058823529,0.9576470588235294
2013-09-12,2,4,31,32,679.0,83.0,3036.0,,,
2013-09-12,21,1,36,29,342.0,111.0,2245.0,0.0,1.0,1.0
2013-09-13,21,1,0,1,341.0,111.0,2243.0,1.0,0.0,0.0
2013-09-14,20,4,23,8,0.0,0.0,0.0,,,
2013-09-16,2,3,51,12,2126.0,263.0,9661.0,0.4347826086956521,0.8260869565217391,1.0
2013-09-16,14,1,1,0,838.0,230.0,5678.0,0.0,1.0,1.0
2013-09-16,20,1,41,1,0.0,0.0,0.0,,,
2013-09-16,21,1,359,0,303.0,40.0,2031.0,0.3882783882783883,0.7619047619047619,1.0
2013-09-17,2,6,16,18,2896.0,369.0,13249.0,0.8333333333333333,0.0,0.3333333333333333
2013-09-17,21,3,10,10,285.0,40.0,1956.0,1.0,1.0,1.0
2013-09-18,2,11,112,55,3786.0,502.0,18093.0,0.0,0.2,0.0
2013-09-18,22,1,1,1,143.0,30.0,646.0,,,
2013-09-19,2,2,7,3,782.0,103.0,3844.0,0.0,0.0,1.0
2013-09-19,20,2,3,0,289.0,60.0,1299.0,0.0,0.0,1.0
2013-09-28,20,4,4,2,432.0,90.0,1947.0,,,
2013-10-03,15,2,119,4,2581.0,685.0,16902.0,0.53125,0.65625,0.25
2013-10-03,21,4,112,70,4138.0,1038.0,25700.0,0.375,1.0,0.6296296296296295
2013-10-05,23,1,1,1,0.0,0.0,0.0,,,
2013-10-08,14,1,1,0,842.0,232.0,5704.0,0.0,1.0,1.0
2013-10-23,21,1,5,4,938.0,240.0,6277.0,,,
2013-10-24,2,1,3,3,60.0,6.0,397.0,,,
2013-11-07,24,1,56,0,34.0,4.0,249.0,1.0,1.0,1.0
2013-11-15,25,1,1,1,105.0,19.0,543.0,,,
2013-11-18,14,1,11,5,149.0,31.0,681.0,0.0,0.0,1.0
2013-11-20,2,1,3,4,742.0,99.0,3601.0,0.0,0.0,0.0
2013-12-05,21,1,2,1,312.0,85.0,1617.0,,0.0,
2013-12-11,2,3,10,11,1003.0,192.0,5901.0,,,
2013-12-11,26,2,3,2,626.0,168.0,3244.0,0.0,1.0,1.0
2013-12-12,21,2,12,2,1496.0,201.0,7265.0,0.5,0.75,0.75
2013-12-14,14,1,1,1,842.0,232.0,5704.0,,,
2013-12-14,27,1,1,1,842.0,232.0,5704.0,,,
2013-12-16,26,2,3,2,626.0,170.0,3248.0,0.0,1.0,1.0
2013-12-20,28,3,12,11,986.0,224.0,5916.0,,,
2013-12-21,26,2,3,2,626.0,170.0,3248.0,0.0,1.0,1.0
2014-01-02,29,2,2349,74,2363.0,509.0,19232.0,0.2224080267558528,0.2736900780379041,0.8784838350055741
2014-01-10,2,2,3,3,1502.0,202.0,7302.0,,,
2014-01-13,2,1,2,0,753.0,102.0,3665.0,0.0,0.0,0.0
2014-01-14,2,3,23,10,1510.0,206.0,7360.0,0.0,1.0,0.0
2014-01-15,2,1,33,10,777.0,105.0,3798.0,0.8333333333333334,0.8333333333333334,0.6666666666666666
2014-01-19,30,1,1,1,48.0,8.0,210.0,,,
2014-01-20,30,1,4,1,844.0,233.0,5710.0,1.0,1.0,1.0
2014-01-23,30,1,6,1,346.0,112.0,2261.0,1.0,1.0,1.0
2014-01-24,2,1,10,2,782.0,106.0,3824.0,0.0,1.0,0.0
2014-01-24,30,1,5,2,847.0,233.0,5725.0,1.0,1.0,1.0
2014-01-28,2,1,2,2,38.0,2.0,261.0,,,
2014-01-29,2,1,2,1,848.0,233.0,5749.0,1.0,1.0,0.0
2014-01-30,24,1,46,13,57.0,6.0,469.0,1.0,1.0,1.0
2014-02-03,2,2,19,15,1700.0,468.0,11514.0,1.0,1.0,1.0
2014-02-06,2,4,25,10,1639.0,411.0,9947.0,0.3125,0.0,1.0
2014-02-17,2,1,8,2,861.0,238.0,5816.0,0.4,0.4,0.6
2014-02-23,29,1,372,42,2663.0,599.0,20996.0,0.2188552188552188,0.6397306397306397,0.8754208754208754
2014-02-25,2,1,21,131,0.0,0.0,0.0,,,
2014-02-25,29,1,63,2,0.0,0.0,0.0,,,
2014-02-28,2,4,30,26,1614.0,399.0,10090.0,0.0,0.0,1.0
2014-02-28,29,1,7,6,2664.0,599.0,21009.0,,,
2014-03-06,2,1,1,2,345.0,112.0,2260.0,0.0,0.0,1.0
2014-03-15,14,1,14,0,324.0,87.0,1677.0,0.0,0.0,0.0
2014-03-16,2,1,1,1,47.0,5.0,228.0,,,
2014-03-18,14,1,1,0,862.0,238.0,5822.0,1.0,1.0,1.0
2014-03-26,27,1,1,1,630.0,143.0,3442.0,,,
2014-04-01,2,1,1,1,633.0,146.0,3468.0,,,
2014-04-23,2,1,6,0,788.0,106.0,3834.0,,,
2014-04-25,31,1,4,4,957.0,233.0,5153.0,,,
2014-05-03,29,1,3,2,865.0,239.0,5841.0,1.0,1.0,0.0
2014-05-22,14,3,16,9,3241.0,867.0,21061.0,0.5,0.5,0.25
2014-05-28,21,1,10,10,788.0,107.0,3827.0,,0.0,0.0
2014-05-28,32,5,125,29,3594.0,980.0,24276.0,0.2272727272727272,0.3888888888888889,1.0
2014-05-29,32,3,70,12,155.0,21.0,883.0,0.46875,1.0,1.0
2014-06-06,15,1,16,12,789.0,107.0,3859.0,1.0,1.0,0.0
2014-06-10,32,4,32,167,1371.0,375.0,9031.0,0.1868131868131868,0.1428571428571428,0.2417582417582417
2014-06-16,32,2,26,6,819.0,174.0,4607.0,0.5,0.5,0.0
2014-06-19,32,1,34,5,1096.0,283.0,7020.0,0.6,0.6,0.96
2014-06-20,32,2,8,9,1002.0,263.0,6571.0,0.0,1.0,1.0
2014-06-26,32,1,63,15,984.0,251.0,6348.0,1.0,1.0,0.9090909090909092
2014-06-27,2,2,47,38,2111.0,575.0,13730.0,0.0,1.0,0.0
2014-07-01,2,3,4,4,2686.0,729.0,18165.0,1.0,0.0,0.0
2014-07-01,32,2,17,33,180.0,18.0,996.0,0.0,0.0,0.0
2014-07-02,32,2,11,13,1825.0,441.0,11185.0,1.0,1.0,1.0
2014-07-07,2,3,3,3,2685.0,729.0,18168.0,,,
2014-07-08,2,1,5,1,898.0,245.0,6077.0,0.0,0.0,0.0
2014-07-08,32,3,11,10,1512.0,322.0,8653.0,1.0,1.0,0.0
2014-07-09,2,1,13,6,168.0,57.0,1274.0,1.0,1.0,0.0
2014-07-09,15,1,3,1,920.0,249.0,6164.0,1.0,1.0,0.0
2014-07-09,32,7,53,19,4121.0,958.0,22564.0,0.0,0.0909090909090909,0.9545454545454546
2014-07-10,2,4,75,24,1390.0,325.0,7680.0,0.5,0.5,0.3181818181818182
2014-07-10,32,2,6,6,1292.0,301.0,7099.0,,,
2014-07-11,32,1,16,5,1562.0,397.0,9702.0,1.0,1.0,0.0
2014-07-14,32,3,5,4,1628.0,400.0,10094.0,1.0,1.0,0.0
2014-07-15,2,7,92,61,2482.0,522.0,13851.0,0.3333333333333333,0.16666666666666666,1.0
2014-07-15,32,3,17,15,2499.0,657.0,15965.0,1.0,1.0,1.0
2014-07-16,2,1,2,2,666.0,157.0,3657.0,,,
2014-07-18,29,1,4,1,936.0,257.0,6267.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
2014-07-19,32,1,35,9,1278.0,340.0,7619.0,0.9230769230769232,1.0,1.0
2014-07-22,32,2,64,50,3700.0,913.0,21256.0,0.48,0.6799999999999999,0.6
